小区名字,总价（万元）,单价（元/平方）,建筑面积（m2）,套内面积（m2）,上架时间,上次交易时间,地区,
盛世嘉园,310,25676,120.74,108.81,2018/8/19,2010/1/12,余杭,闲林
木庵小区,245,48134,50.9,暂无数,2018/8/26,1996/12/12,下城,体育场路
久睦苑,175,27778,63,62.02,2018/9/4,2011/9/8,江干,丁桥
北城枫景园,183,29723,61.57,暂无数,2018/9/5,2011/5/15,江干,丁桥
湖墅新村,275,40388,68.09,暂无数,2018/9/7,2005/9/10,拱墅,信义坊
万家星城,430,48517,88.63,71.07,2018/9/8,2012/5/16,下城,三塘
万家星城,430,50024,85.96,67.1,2018/9/10,2012/5/16,下城,三塘
马塍路35号,540,80358,67.2,62,2018/5/9,2010/4/15,西湖,学军
锦昌文华苑,670,44269,151.35,151,2016/5/21,2008/10/6,拱墅,拱宸桥
保利东湾,280,30834,90.81,67.21,2017/8/4,2013/6/27,下沙,沿江南
盛世嘉园,248,28708,86.39,暂无数,2017/10/18,2009/6/22,余杭,闲林
桃园新村,465,64405,72.2,66,2017/11/1,2000/5/10,西湖,黄龙
嘉绿北苑,468,43657,107.2,95,2017/11/11,1999/12/5,西湖,嘉绿
精欧荣寓,295,33753,87.4,暂无数,2017/11/16,2011/11/23,下沙,高教园区西
佳境天城成合苑,850,30119,282.22,暂无数,2017/11/30,2008/4/21,萧山,钱江世纪城
和睦新村,205,39591,51.78,暂无数,2017/12/4,2008/10/10,拱墅,和睦
绿城西子田园牧歌,325,36633,88.72,65.93,2017/12/9,2016/4/6,拱墅,半山
泰和苑,215,44340,48.49,1,2018/1/12,2005/7/20,下城,潮鸣
平凡里公寓,362,43853,82.55,暂无数,2018/2/2,2007/12/12,下城,流水苑
朝晖九区,252,43872,57.44,52.36,2018/2/23,2003/6/11,下城,朝晖
大华海派风景,310,35968,86.19,71.44,2018/3/17,2012/3/28,余杭,万达广场
京都苑,360,40072,89.84,暂无数,2018/3/24,2000/6/22,下城,流水苑
绿洲之馨公寓,568,45594,124.58,99.59,2018/4/1,2007/9/3,下城,流水苑
翠苑五区,270,41533,65.01,暂无数,2018/4/19,2006/8/1,西湖,翠苑
康乐香港城,265,38201,69.37,暂无数,2018/5/4,2003/2/28,西湖,文三西路
翠苑五区,358,47305,75.68,70.28,2018/5/15,2012/10/19,西湖,翠苑
瑞城温莎郡,250,29454,84.88,暂无数,2018/5/24,2015/3/30,余杭,闲林
通和戈雅公寓,380,25648,148.16,117.98,2018/6/23,2011/3/8,萧山,闻堰
凯旋路104号,385,50893,75.65,67.86,2018/6/28,2013/2/5,江干,采荷
浅水湾城市花园,560,48883,114.56,暂无数,2018/7/17,2013/11/12,拱墅,湖墅
华藏寺巷,245,44097,55.56,暂无数,2018/7/19,1988/8/4,上城,潮鸣
蚕花园永宁坊,185,39387,46.97,40.46,2018/8/23,2011/2/16,拱墅,拱宸桥
锦绣新村,350,37822,92.54,81.62,2017/12/14,2005/1/13,拱墅,湖墅
佳兆业玖珑山,565,33496,168.68,暂无数,2017/7/26,2016/4/12,西湖,转塘
云溪香山,440,26180,168.07,暂无数,2018/4/22,2010/5/10,西湖,转塘
伊萨卡国际城绮风园,350,25251,138.61,113.49,2018/4/23,2009/9/12,下沙,沿江北
翡翠城,300,34832,86.13,67.17,2018/6/1,2016/10/31,余杭,翡翠城
风雅乐府,400,32750,122.14,暂无数,2018/6/9,2016/5/5,余杭,万达广场
梦琴湾,378,21966,172.09,135.23,2018/6/14,2009/2/13,下沙,沿江北
阳光逸城,186,30333,61.32,暂无数,2018/6/15,2012/6/22,江干,丁桥
阳光逸城,186,30064,61.87,暂无数,2018/7/10,2012/8/1,江干,丁桥
金都夏宫,195,23580,82.7,暂无数,2018/7/17,2014/12/10,余杭,临平
北景园水镜苑,380,28471,133.47,暂无数,2018/9/4,2007/9/5,下城,石桥
德信早城,540,44050,122.59,98.24,2018/9/6,2013/5/23,下沙,金沙湖
钱塘帝景,1350,53798,250.94,暂无数,2018/9/6,2013/1/25,滨江,彩虹城
山水人家彩云天,688,42966,160.13,137.53,2018/9/11,2005/8/24,西湖,文三西路
朝晖二区,250,40187,62.21,57.07,2018/9/13,2009/12/4,下城,朝晖
凯德视界,450,50842,88.51,暂无数,2018/9/13,2010/6/22,拱墅,桥西
万家花园万和苑,720,38989,184.67,暂无数,2017/10/10,2003/5/7,江干,闸弄口
钱江湾花园,255,46695,54.61,40.69,2018/5/15,2005/12/23,滨江,浦沿
万科北宸之光,315,35747,88.12,暂无数,2018/8/31,2015/12/21,余杭,万达广场
绿城蓝色钱江,420,40777,103,66.96,2016/9/27,2014/5/9,上城,南星
塘河南村,206,35567,57.92,暂无数,2018/3/9,2007/3/14,拱墅,信义坊
通和戈雅公寓,540,28273,191,暂无数,2018/4/28,2007/7/10,萧山,闻堰
复兴南苑,148,43250,34.22,28.73,2018/6/3,2001/12/12,上城,复兴
奥兰多小镇,507,27999,181.08,157.71,2018/6/12,2012/11/9,萧山,湘湖
朝晖七区,170,39027,43.56,39.68,2018/6/18,2015/9/1,下城,朝晖
采荷绿萍,200,45799,43.67,暂无数,2018/6/19,2000/8/28,江干,南肖埠
复兴南苑,130,41415,31.39,暂无数,2018/7/14,2017/6/23,上城,复兴
顺发旺角城,780,45213,172.52,暂无数,2018/8/20,2010/12/23,萧山,萧山市区
天赐苑,370,44730,82.72,73.32,2018/9/16,2001/3/20,下城,建国北路
竹海水韵,210,23856,88.03,70.81,2018/2/9,2012/8/4,余杭,闲林
景芳一区,258,44163,58.42,暂无数,2018/2/23,2000/5/1,江干,景芳
凤起苑,430,47175,91.15,暂无数,2018/2/26,2005/6/1,下城,潮鸣
坤和西溪里璞园,410,47366,86.56,69.7,2018/2/26,2015/9/15,西湖,西溪
良渚文化村白鹭郡南,250,28046,89.14,78.22,2018/3/1,2010/2/24,余杭,良渚
中兴九洲芳园,295,34057,86.62,71.19,2018/4/16,2011/5/16,江干,九堡
爵士风情花园,205,22786,89.97,78.59,2018/4/16,2011/10/13,余杭,闲林
德信早城,358,40099,89.28,69.42,2018/5/1,2015/6/9,下沙,金沙湖
亲亲家园一期,350,29502,118.64,暂无数,2018/6/24,2003/9/3,余杭,三墩
马塍路11号,413,66937,61.7,暂无数,2018/6/25,2007/8/2,西湖,文三
花园西村,385,68997,55.8,49.2,2018/6/26,2006/6/15,西湖,文教
伊萨卡国际城浩泽园,360,26598,135.35,110.49,2018/7/9,2013/4/23,下沙,沿江北
竹海水韵,240,27165,88.35,72.86,2018/7/25,2013/11/22,余杭,闲林
中海钱塘山水,428,48090,89,暂无数,2018/7/30,2010/4/2,滨江,浦沿
孝丰路小区,433,59008,73.38,暂无数,2018/8/5,2008/8/21,下城,武林
三里亭苑三区,286,37538,76.19,68.87,2018/8/18,2005/10/27,江干,三里亭
翰林花园,636,50190,126.72,暂无数,2018/9/1,2009/10/28,上城,潮鸣
翰林花园,636,50190,126.72,暂无数,2018/9/1,2009/10/28,上城,潮鸣
丹桂公寓,620,49828,124.43,暂无数,2017/12/21,2000/12/20,西湖,文三西路
西溪河东,498,73128,68.1,暂无数,2018/4/28,2000/10/17,西湖,学军
多蓝水岸银沙苑,345,24774,139.26,117.62,2017/6/28,2009/5/22,下沙,沿江北
皇城花苑,486,49653,97.88,暂无数,2018/2/2,2005/4/8,上城,鼓楼
西溪蝶园一期,930,48372,192.26,166.14,2018/3/12,2009/10/20,西湖,西溪
信义坊,318,41903,75.89,暂无数,2018/4/15,2013/3/11,拱墅,信义坊
华龙家园,405,54916,73.75,65.27,2018/7/19,2011/1/20,上城,近江
保利湾天地二期,150,15464,97,69.4,2018/9/9,2010/9/10,下沙,沿江南
保利霞飞郡,105,25780,40.73,暂无数,2017/12/17,2016/4/29,萧山,萧山新城区
元都新景公寓,400,31008,129,109.77,2016/3/2,2010/1/12,下城,石桥
文二路21号,620,81773,75.82,70,2017/5/13,2001/6/1,西湖,学军
三江花园,330,25456,129.64,119.06,2017/6/4,2010/9/6,萧山,闻堰
德嘉金沙阳光,280,31209,89.72,暂无数,2017/6/24,2012/12/17,下沙,金沙湖
老浙大直路11-25号,366,35960,101.78,暂无数,2017/8/23,2002/5/21,上城,潮鸣
中兴公寓,285,38839,73.38,63.66,2017/11/12,2005/6/20,西湖,文三西路
亲亲家园三期,450,30617,146.98,暂无数,2017/12/3,2008/5/9,余杭,三墩
艮园社区,300,43732,68.6,暂无数,2017/12/23,2000/8/4,下城,建国北路
西溪河下76号,375,56239,66.68,暂无数,2018/1/9,2006/1/12,西湖,文教
三里亭一区,239,39459,60.57,53.72,2018/1/13,2013/4/25,江干,三里亭
翠苑四区,230,42712,53.85,暂无数,2018/3/8,1993/3/24,西湖,翠苑
紫金公寓,320,40770,78.49,70.87,2018/3/12,2000/5/30,西湖,文三西路
三里家园一区,400,33787,118.39,94.75,2018/3/14,2012/8/22,下城,三里亭
亲亲家园三期,390,29010,134.44,暂无数,2018/3/17,2006/11/23,余杭,三墩
岸上蓝山,285,22661,125.77,暂无数,2018/3/17,2012/10/25,余杭,闲林
滨江金色家园,880,60989,144.29,136.79,2018/3/22,2006/12/14,上城,南星
翠苑二区北区,240,37701,63.66,暂无数,2018/4/13,2009/1/22,西湖,翠苑
金隅观澜时代天筑,460,22821,201.57,161.9,2018/4/22,2011/6/30,下沙,沿江南
复兴北苑,215,44876,47.91,暂无数,2018/4/26,2014/3/29,上城,复兴
江南铭庭,325,37525,86.61,66.94,2018/5/10,2013/3/22,滨江,白马湖
景翠公寓,246,31346,78.48,暂无数,2018/6/14,2011/6/1,下城,石桥
左邻右舍,278,35365,78.61,64.9,2018/6/15,2010/8/23,江干,九堡
清水公寓,815,47698,170.87,148.45,2018/7/25,2003/8/5,拱墅,德胜
金隅观澜时代天筑,233,27211,85.63,暂无数,2018/7/25,2012/9/19,下沙,沿江南
高教新村,498,53856,92.47,暂无数,2018/8/15,1998/12/22,西湖,文一西路
中大文锦苑,1040,76013,136.82,暂无数,2017/7/21,2004/11/1,西湖,学军
和达城,75,19748,37.98,暂无数,2018/5/11,2014/12/25,下沙,高教园区西
景苑公寓,368,39149,94,暂无数,2017/9/21,2001/10/10,江干,景芳
滨江曙光之城,410,45693,89.73,暂无数,2018/6/19,2016/1/5,江干,火车东站
新华坊社区,520,46367,112.15,100.92,2018/7/12,1998/8/20,下城,丝绸城
董家弄,190,36191,52.5,45.69,2018/7/25,2013/8/30,拱墅,信义坊
康乐新村,330,39947,82.61,暂无数,2018/8/24,2009/10/15,西湖,文三西路
广厦天都城天月苑,300,26270,114.2,暂无数,2018/9/10,2012/11/30,余杭,星桥
领骏世界,160,35747,44.76,31.93,2018/9/14,2012/11/27,下城,朝晖
德胜新村南,221,33824,65.34,59.78,2018/9/14,2013/2/5,下城,朝晖
星洲花园红树林,850,43660,194.69,暂无数,2018/9/15,2013/10/29,西湖,文一西路
清怡花苑,550,40784,134.86,112.33,2016/10/21,2007/3/11,上城,复兴
黄姑山路22号,210,33926,61.9,59.82,2017/9/20,1999/12/22,西湖,九莲
浙报宿舍,342,44794,76.35,70.99,2017/10/14,2001/8/29,江干,华家池
天阳观筑,250,31072,80.46,64.97,2017/10/16,2012/3/1,江干,丁桥
绿都四季花城,415,34070,121.81,暂无数,2018/4/7,2004/9/28,萧山,南部卧城
翠苑四区,240,43353,55.36,55,2018/5/11,2000/5/2,西湖,翠苑
顺发康庄,238,30529,77.96,59.09,2018/5/25,2016/8/16,萧山,钱江世纪城
滨江凯旋门,670,77047,86.96,70.61,2018/6/10,2015/10/20,江干,采荷
现代名苑,460,50093,91.83,68.02,2018/6/25,2012/7/11,下城,和平
众安景海湾,245,27690,88.48,66.78,2018/6/28,2013/5/23,萧山,萧山开发区
古荡新村东区,304,41576,73.12,暂无数,2018/7/19,2003/1/26,西湖,古荡
墩莳家园,188,29528,63.67,63.67,2018/7/23,2012/8/31,西湖,良渚
玺之湾,370,29782,124.24,暂无数,2018/8/19,2013/8/6,江干,丁桥
百合苑,268,17996,148.93,暂无数,2018/8/26,2006/9/12,余杭,临平
耀江文萃苑,916,60046,152.55,129.81,2018/8/26,2004/8/24,西湖,文教
