小区名字,总价（万元）,单价（元/平方）,建筑面积（m2）,套内面积（m2）,上架时间,上次交易时间,地区,
通和戈雅公寓,370,29767,124.3,暂无数,2018/8/23,2008/12/3,萧山,闻堰
翠苑二区北区,415,38778,107.02,暂无数,2018/8/23,2006/6/2,西湖,翠苑
嘉里桦枫居,285,35186,81,暂无数,2018/8/25,2011/7/18,下城,石桥
丁桥兰苑,260,24886,104.48,暂无数,2018/8/25,2006/8/2,江干,丁桥
红街公寓,580,46726,124.13,95.59,2018/8/25,2010/7/6,江干,火车东站
三里家园一区,380,40804,93.13,84.47,2018/8/25,2010/1/1,下城,三里亭
竹海水韵,315,22341,141,暂无数,2018/8/25,2010/11/9,余杭,闲林
长睦邻里人家东苑,200,28572,70,暂无数,2018/8/26,2012/8/15,江干,丁桥
小剪刀弄,230,40260,57.13,51.88,2018/8/26,2012/11/1,上城,鼓楼
维元弄,295,41521,71.05,65,2018/8/26,1988/9/1,拱墅,湖墅
施家花园,542,47557,113.97,暂无数,2018/8/27,2000/11/1,下城,流水苑
朝晖八区,225,43563,51.65,48.04,2018/8/27,2011/3/31,下城,朝晖
康乐新村,300,46154,65,暂无数,2018/8/27,2009/7/21,西湖,文三西路
钱塘春晓,680,46576,146,暂无数,2018/8/27,2011/8/4,滨江,滨江区政府
蚕花园永兴坊,210,38044,55.2,49.37,2018/8/27,2013/7/27,拱墅,拱宸桥
新星小区,198,37331,53.04,暂无数,2018/8/29,2013/4/3,西湖,三墩
保亿风景蝶院观园,335,39118,85.64,暂无数,2018/8/29,2011/12/30,滨江,白马湖
世茂江滨花园瑞景湾,235,26858,87.5,66.16,2018/8/29,2011/3/24,下沙,沿江南
三里家园二区,355,39085,90.83,79.58,2018/8/29,2010/9/27,江干,三里亭
东海闲湖城印象加州,202,25150,80.32,暂无数,2018/8/30,2016/7/5,余杭,闲林
久睦苑,165,26400,62.5,暂无数,2018/8/31,2012/11/1,江干,丁桥
紫桂花园,790,57623,137.1,暂无数,2018/8/31,2005/1/20,西湖,文一西路
金成花园,425,51609,82.35,71.98,2018/8/31,2010/11/9,西湖,文一西路
大关南四苑,238,38631,61.61,51.61,2018/9/1,2004/9/15,拱墅,大关
大关西八苑,275,39113,70.31,暂无数,2018/9/1,2002/3/11,拱墅,大关
白荡海人家,580,55013,105.43,94.48,2018/9/3,2011/7/12,西湖,文教
大关西五苑,300,38730,77.46,暂无数,2018/9/5,2005/9/14,拱墅,大关
复地连城国际,220,24927,88.26,暂无数,2018/9/6,2012/2/14,余杭,乔司
都市水乡水滟苑,309,31814,97.13,暂无数,2018/9/6,2011/9/6,拱墅,三墩
绿城西子郁金香岸,478,29727,160.8,131.98,2018/9/7,2009/2/20,萧山,闻堰
金隅观澜时代天筑,220,25582,86,暂无数,2018/9/9,2011/6/20,下沙,沿江南
世茂江滨商业中心,145,14357,101,暂无数,2018/7/21,2013/8/22,下沙,沿江南
施家花园,430,40225,106.9,96.57,2017/5/23,2009/12/14,下城,流水苑
天福花园,580,43258,134.08,124,2017/6/2,2003/6/3,上城,近江
和苑小区,345,43408,79.48,67.91,2017/9/2,2014/3/31,西湖,申花
东田擎天半岛,290,21015,138,107.52,2017/9/19,2015/11/15,余杭,星桥
红街公寓,839,35972,233.24,191.17,2017/9/26,2013/6/13,江干,火车东站
锦园小区,208,44483,46.76,41.87,2017/10/1,2009/10/29,下城,建国北路
翠苑四区,278,39333,70.68,65.47,2017/10/15,2009/6/7,西湖,翠苑
嘉绿西苑,450,39873,112.86,102.92,2017/10/23,2013/10/24,西湖,嘉绿
西溪蝶园二期,680,44225,153.76,125.73,2017/10/23,2015/6/23,西湖,西溪
城发云锦城,295,33478,88.12,69.74,2017/11/3,2016/3/31,江干,丁桥
梦琴湾,360,24507,146.9,111.86,2017/11/9,2009/9/28,下沙,沿江北
中兴公寓,296,45504,65.05,暂无数,2017/11/9,2006/3/3,西湖,文三西路
沁雅花园,285,45024,63.3,58.32,2017/12/18,2011/3/14,西湖,文三西路
天虹公寓,268,29624,90.47,67.09,2017/12/22,2013/6/27,西湖,申花
景芳一区,350,43571,80.33,74.43,2018/1/5,2003/9/16,江干,景芳
华元蒙卡岸,268,30459,87.99,68.56,2018/1/5,2014/7/8,余杭,翡翠城
保利罗兰香谷,205,22900,89.52,暂无数,2018/1/12,2017/7/17,江干,丁桥
缤纷小区,465,37008,125.65,暂无数,2018/1/24,2016/3/9,滨江,滨江区政府
育才西苑,279,29087,95.92,暂无数,2018/2/5,2004/3/18,萧山,萧山市区
岸上蓝山,218,24622,88.54,暂无数,2018/2/26,2016/6/21,余杭,闲林
星洲花园格兰馨芦,700,48511,144.3,118.23,2018/3/7,2016/3/28,西湖,文一西路
盛世嘉园,92,25035,36.75,暂无数,2018/3/9,2017/9/8,余杭,闲林
赞成乐山红叶,300,23422,128.09,暂无数,2018/3/9,2016/8/2,余杭,闲林
嘉南公寓小高层,650,49039,132.55,暂无数,2018/3/12,2016/8/10,西湖,文一西路
北景园芳洲苑,275,29070,94.6,暂无数,2018/3/16,2009/1/14,下城,石桥
南都花园三区,350,42730,81.91,暂无数,2018/3/30,1994/8/8,西湖,文一西路
朝晖七区,535,44547,120.1,暂无数,2018/3/30,2003/7/23,下城,朝晖
檀香园,519,59994,86.51,69.81,2018/4/10,2010/1/8,上城,潮鸣
稻香园南区,458,41509,110.34,1,2018/4/12,2005/6/15,拱墅,湖墅
秋涛雅苑,420,37736,111.3,82.53,2018/4/16,2011/12/12,江干,三里亭
临江花园,550,36424,151,暂无数,2018/4/22,2006/1/24,滨江,彩虹城
融创金成西溪海,235,27811,84.5,暂无数,2018/4/22,2016/8/18,余杭,闲林
星汇荣邸,350,40157,87.16,暂无数,2018/4/25,2014/12/23,滨江,浦沿
流水苑,372,44831,82.98,暂无数,2018/4/26,2006/9/19,下城,流水苑
景芳新五区,328,42263,77.61,暂无数,2018/4/29,2006/11/27,江干,景芳
庭院深深,210,23019,91.23,71.56,2018/5/2,2010/5/7,余杭,闲林
复地连城国际,205,27078,75.71,61.41,2018/5/3,2010/12/27,余杭,乔司
和睦新村,190,39791,47.75,44.41,2018/5/5,2016/3/2,拱墅,和睦
龙湖香醍溪岸,188,21025,89.42,暂无数,2018/5/9,2015/9/18,余杭,崇贤
太阳国际公寓,800,45520,175.75,142.57,2018/5/12,2010/3/18,滨江,彩虹城
越秀星汇尚城,440,34109,129,暂无数,2018/5/22,2016/9/14,余杭,万达广场
大浒东苑,368,42667,86.25,暂无数,2018/5/23,2008/6/24,拱墅,大关
顺发吉祥半岛,395,52339,75.47,58.46,2018/5/24,2015/10/20,拱墅,桥西
和睦新村,190,39143,48.54,暂无数,2018/5/28,2010/12/7,拱墅,和睦
闲林山水木兰苑,280,22065,126.9,暂无数,2018/6/2,2004/6/10,余杭,闲林
育才东苑,185,29089,63.6,暂无数,2018/6/4,2009/7/23,萧山,萧山市区
三里新城荷苑,355,39763,89.28,暂无数,2018/6/5,2010/6/15,江干,三里亭
良渚文化村白鹭郡南,262,29878,87.69,76.36,2018/6/8,2010/11/19,余杭,良渚
崇化住宅区,205,28366,72.27,暂无数,2018/6/10,2001/4/24,萧山,萧山市区
元都新景公寓,278,30773,90.34,71.77,2018/6/10,2012/6/14,下城,石桥
武林路,465,56522,82.27,暂无数,2018/6/15,2014/1/14,下城,武林
康乐新村,248,38143,65.02,暂无数,2018/6/15,2009/12/7,西湖,文三西路
白荡海人家,508,58858,86.31,暂无数,2018/6/16,2003/5/9,西湖,文教
良渚文化村七贤郡,236,27252,86.6,71.3,2018/6/17,2016/3/16,余杭,良渚
金棕榈花园,630,47833,131.71,暂无数,2018/6/21,2016/11/2,上城,复兴
南瓦坊,240,42873,55.98,暂无数,2018/6/24,2018/4/27,上城,雄镇楼
美政花苑,375,43514,86.18,暂无数,2018/7/9,2006/11/14,上城,复兴
美政花苑,312,43304,72.05,暂无数,2018/7/13,2018/2/28,上城,复兴
朝晖六区,210,41193,50.98,46.02,2018/7/13,2013/1/21,下城,朝晖
广德小区,320,30918,103.5,92.48,2018/7/14,2007/5/1,萧山,萧山市区
景芳四区,245,46062,53.19,暂无数,2018/7/14,2001/12/17,江干,景芳
凯德视界,427,48639,87.79,暂无数,2018/7/16,2010/5/5,拱墅,桥西
杭钢南苑,200,28126,71.11,暂无数,2018/7/17,2012/7/19,拱墅,半山
广厦天都城天河苑,78,29313,26.61,暂无数,2018/7/18,2012/12/3,余杭,星桥
欧美金融城,370,41574,89,暂无数,2018/7/22,2016/7/25,余杭,未来科技城
爱丁郡,310,34541,89.75,70.17,2018/7/27,2014/1/6,余杭,翡翠城
倾城之恋,570,49721,114.64,暂无数,2018/7/29,2008/1/27,滨江,滨江区政府
大学路新村,361,44923,80.36,74.11,2018/8/19,1999/8/3,上城,潮鸣
大华西溪风情澄品,380,43896,86.57,暂无数,2018/8/25,2016/7/13,余杭,西溪
盛世嘉园,238,28110,84.67,暂无数,2018/8/26,2010/8/17,余杭,闲林
锦都世家,390,43821,89,73.65,2017/8/17,2010/5/31,上城,四季青
湖墅嘉园,600,45802,131,107.47,2017/9/14,2010/6/2,拱墅,信义坊
中大文锦苑,980,78545,124.77,暂无数,2017/10/10,2001/12/12,西湖,学军
永丰巷,305,54377,56.09,暂无数,2017/12/24,2000/11/22,下城,众安桥
采荷人家,680,50412,134.89,暂无数,2018/2/1,2007/11/13,江干,采荷
星洲花园花柏美舍,518,62410,83,73,2018/6/18,2013/8/29,西湖,文一西路
仙林苑,780,64458,121.01,暂无数,2018/7/11,2005/1/26,下城,众安桥
金田花园,295,44874,65.74,65.74,2018/7/22,2012/10/9,西湖,文三西路
金都夏宫,190,21702,87.55,暂无数,2018/6/1,2017/6/8,余杭,临平
世茂江滨花园瑞景湾,220,25143,87.5,66,2018/6/13,2016/11/23,下沙,沿江南
上宁新村,580,61396,94.47,暂无数,2017/6/1,2009/12/23,西湖,文三
德信金泊林公寓,450,37800,119.05,97.76,2017/7/29,2011/8/23,江干,九堡
春江花月,676,58367,115.82,97.5,2017/8/20,2006/12/30,上城,南星
保利东湾,295,28257,104.4,16.62,2017/9/12,2017/2/26,下沙,沿江南
朝晖九区,275,49381,55.69,50,2017/11/5,2013/3/5,下城,朝晖
景翠公寓,258,29372,87.84,78.74,2017/11/7,2012/4/24,下城,石桥
新工新村,238,46594,51.08,暂无数,2017/11/16,2001/1/17,上城,雄镇楼
锦绣文澜阁,500,37879,132,1,2017/11/19,2012/1/18,拱墅,桥西
中海紫藤苑,540,38849,139,118.34,2017/11/28,2013/5/9,西湖,三墩
古荡新村东区,287,40762,70.41,62.37,2017/12/1,2004/3/15,西湖,古荡
闲林山水紫薇苑,240,27807,86.31,67.11,2017/12/7,2011/8/8,余杭,闲林
通和戈雅公寓,350,28016,124.93,111.13,2017/12/10,2009/12/2,萧山,闻堰
新绿园,1600,77235,207.16,163.46,2017/12/17,2010/11/23,上城,南星
多蓝水岸听涛苑,288,22688,126.94,107.64,2017/12/21,2005/5/12,下沙,沿江北
金棕榈花园,612,43715,140,暂无数,2017/12/25,2004/12/28,上城,复兴
城北商贸园,225,34563,65.1,48,2018/1/5,2013/1/10,西湖,申花
南北西岸,430,48599,88.48,暂无数,2018/1/6,2011/5/4,拱墅,桥西
晶典公寓,325,27555,117.95,96.46,2018/1/29,2012/6/8,萧山,南部卧城
华苑公寓,540,50643,106.63,暂无数,2018/2/23,2003/1/15,西湖,文一西路
书林苑,340,27544,123.44,暂无数,2018/3/5,2009/1/20,余杭,良渚
盛世嘉园,253,29038,87.13,76.8,2018/3/11,2010/9/25,余杭,闲林
浙江大学华家池校区,245,45752,53.55,暂无数,2018/3/12,1997/5/5,江干,华家池
新和嘉苑,360,36601,98.36,84.5,2018/3/13,2012/6/7,江干,火车东站
钱塘春晓,680,44156,154,131.89,2018/3/17,2008/5/23,滨江,滨江区政府
水岸枫庭,1300,74576,174.32,暂无数,2018/3/21,2011/11/29,上城,南星
下宁巷,1128,79915,141.15,暂无数,2018/3/22,2006/3/23,西湖,学军
近江家园一园,535,50316,106.33,暂无数,2018/3/27,2012/6/20,上城,近江
紫桂花园,660,59941,110.11,94.78,2018/3/29,2007/12/4,西湖,文一西路
广景苑,660,50711,130.15,暂无数,2018/3/29,2008/2/4,江干,景芳
天湖公寓,430,34373,125.1,114.09,2018/3/31,2011/11/29,西湖,文一西路
竹海水韵,215,28216,76.2,暂无数,2018/4/9,2017/8/18,余杭,闲林
锦绣新村,399,41698,95.69,暂无数,2018/4/10,1999/6/11,拱墅,湖墅
白荡海人家,900,59865,150.34,127.04,2018/4/12,2009/12/8,西湖,文教
佳兆业玖珑山,430,26544,162,暂无数,2018/4/12,2016/12/13,西湖,转塘
东海未名园,395,26127,151.19,暂无数,2018/4/16,2016/7/1,下沙,高教园区西
天寓,1000,49958,200.17,暂无数,2018/4/25,2013/5/16,滨江,彩虹城
亲亲家园一期,425,29827,142.49,暂无数,2018/4/27,2005/9/19,余杭,三墩
威尼斯水城,588,31204,188.44,171.7,2018/4/27,2008/5/22,萧山,湘湖
文苑风情,370,28873,128.15,117.51,2018/5/9,2007/5/31,下沙,高教园区西
梦琴湾,350,23210,150.8,114.57,2018/5/10,2015/4/3,下沙,沿江北
丁桥颐景园,250,32460,77.02,58.74,2018/5/10,2013/2/6,江干,丁桥
翡翠城,325,36236,89.69,71.4,2018/5/21,2011/2/9,余杭,翡翠城
月雅苑,430,30398,141.46,暂无数,2018/5/22,2008/1/16,下沙,高教园区西
山水人家诗家谷,565,45342,124.61,101.66,2018/5/24,2012/10/11,西湖,文三西路
高教新村,400,53348,74.98,65.59,2018/5/25,2012/9/17,西湖,文一西路
广厦天都城天湖苑,399,17199,232,212.79,2018/5/29,2009/12/16,余杭,星桥
世纪西溪,1904,85987,221.43,暂无数,2018/5/31,2006/11/29,西湖,文三西路
同城印象花苑西区,450,28096,160.17,138,2018/6/3,2010/2/2,余杭,未来科技城
亲亲家园二期,440,32117,137,暂无数,2018/6/8,2007/9/5,余杭,三墩
广厦天都城天熙公馆,350,17858,196,暂无数,2018/6/8,2018/2/5,余杭,星桥
凤凰北苑,780,50981,153,暂无数,2018/6/11,2002/9/4,上城,南星
丹枫新村,520,37090,140.2,128.23,2018/6/19,2010/1/15,西湖,文三西路
凤凰北苑,330,47143,70,暂无数,2018/6/24,2000/10/25,上城,南星
求是村,560,72728,77,暂无数,2018/6/26,2000/12/8,西湖,黄龙
金源公寓,420,29628,141.76,暂无数,2018/6/26,2001/4/17,西湖,三墩
亲亲家园三期,580,32773,176.98,暂无数,2018/6/27,2009/1/12,余杭,三墩
沈塘新村,390,66873,58.32,暂无数,2018/6/28,2000/7/1,西湖,学军
万科坤和玉泉,640,46257,138.36,南 ,2018/6/30,2018/4/11,西湖,西溪
江涛阁,458,36729,124.7,102.5,2018/6/30,2009/4/14,滨江,彩虹城
清怡花苑,699,40184,173.95,暂无数,2018/7/2,2005/7/5,上城,复兴
保利东湾,268,28615,93.66,69.86,2018/7/6,2013/5/7,下沙,沿江南
岸上蓝山,265,19183,138.15,暂无数,2018/7/7,2017/2/4,余杭,闲林
复地连城国际,342,25707,133.04,108.27,2018/7/7,2010/6/21,余杭,乔司
亲亲家园二期,320,30567,104.69,暂无数,2018/7/8,2012/10/25,余杭,三墩
临平桂花城南区,480,29851,160.8,暂无数,2018/7/14,2010/7/1,余杭,临平
融创河滨之城,480,53933,89,72.78,2018/7/17,2017/3/15,西湖,西溪
西溪蝶园一期,1150,58845,195.43,166.47,2018/7/19,2009/11/6,西湖,西溪
彩虹城,725,49247,147.22,116.86,2018/7/20,2008/1/22,滨江,彩虹城
中尚橄榄树花园（南区）,330,25191,131,暂无数,2018/7/20,2011/4/29,余杭,崇贤
绿城西子郁金香岸,420,30369,138.3,110.72,2018/7/21,2015/7/20,萧山,闻堰
三里家园二区,365,37556,97.19,86.92,2018/7/26,2011/8/11,江干,三里亭
中豪四季公馆,265,32928,80.48,64.83,2018/7/27,2012/8/5,江干,丁桥
好望角公寓,750,41189,182.09,暂无数,2018/8/4,2005/4/15,上城,复兴
民安苑,202,45910,44,暂无数,2018/8/7,2012/8/24,上城,复兴
中江花园,700,48417,144.58,131.92,2018/8/15,2001/8/1,下城,建国北路
九莲新村,298,40918,72.83,67.35,2018/8/18,2008/8/23,西湖,九莲
通和戈雅公寓,380,30400,125,暂无数,2018/8/18,2008/10/29,萧山,闻堰
山水人家白沙岛,598,44687,133.82,118.75,2018/8/18,2005/5/13,西湖,文三西路
九龙仓碧玺,520,63276,82.18,暂无数,2018/8/18,2016/8/29,拱墅,桥西
中海定山府,960,36924,260,暂无数,2018/9/6,2016/1/21,西湖,转塘
保利玫瑰湾,420,30949,135.71,暂无数,2018/9/6,2016/4/27,下沙,沿江南
坤和和家园,750,43771,171.35,暂无数,2018/9/9,2010/8/23,西湖,西溪
丁桥兰苑,235,27228,86.31,暂无数,2018/9/11,2011/9/7,江干,丁桥
通和戈雅公寓,420,27930,150.38,119.47,2018/9/11,2009/7/3,萧山,闻堰
铭和苑桂雨坊,240,26087,92,暂无数,2018/9/12,2016/4/12,下沙,金沙湖
青枫墅园,265,29776,89,70.28,2018/9/14,2015/1/4,余杭,闲林
后珠美都雅苑,210,23794,88.26,暂无数,2018/9/17,2012/11/29,江干,丁桥
锦花苑,490,53746,91.17,暂无数,2018/9/18,2011/3/17,上城,潮鸣
碧水豪园,900,43903,205,,2016/10/1,2009/11/30,滨江,彩虹城
九莲新村,360,37650,95.62,暂无数,2017/4/13,1987/11/18,西湖,九莲
绿城明月江南,1050,60694,173,142,2017/10/15,2015/3/16,滨江,滨江区政府
白金海岸,680,40015,169.94,143.57,2017/11/1,2007/9/4,滨江,长河
嘉绿西苑,440,44761,98.3,78,2017/11/5,1998/12/15,西湖,嘉绿
亲亲家园二期,480,30768,156.01,150,2017/11/7,2014/12/30,余杭,三墩
风雅钱塘,1270,39094,324.86,255.61,2017/12/19,2009/9/14,滨江,滨江区政府
丁桥兰苑,249,26746,93.1,暂无数,2017/12/27,2010/2/1,江干,丁桥
广厦天都城天河苑,103,27106,38,暂无数,2018/2/5,2008/10/22,余杭,星桥
佳兆业玖珑山,560,33334,168,148.45,2018/3/3,2016/1/16,西湖,转塘
施家花园,533,42870,124.33,112.32,2018/3/11,2009/10/29,下城,流水苑
融创河滨之城,630,53161,118.51,97.27,2018/3/25,2016/2/28,西湖,西溪
绿城桃源小镇,298,32406,91.96,67.05,2018/4/19,2012/6/11,余杭,小和山
星洲花园花柏美舍,860,50006,171.98,暂无数,2018/4/29,2004/2/5,西湖,文一西路
美之园东区,320,26013,123.02,111.32,2018/5/6,2011/3/23,萧山,湘湖
复地连城国际,240,27190,88.27,暂无数,2018/5/20,2010/6/30,余杭,乔司
邱山小区,125,23670,52.81,暂无数,2018/6/13,2010/6/9,余杭,临平
凤起苑,520,48988,106.15,86.89,2018/6/29,2009/11/19,下城,潮鸣
世茂江滨花园瑞景湾,270,30858,87.5,66.16,2018/7/15,2011/4/6,下沙,沿江南
大关西六苑,295,37556,78.55,暂无数,2018/7/29,1999/2/1,拱墅,大关
三里家园二区,285,32354,88.09,暂无数,2018/7/29,2009/10/16,江干,三里亭
绿城桃源小镇,222,24651,90.06,暂无数,2018/8/1,2010/9/19,余杭,小和山
中兴文都苑,625,50000,125,108.06,2018/5/22,2005/10/17,西湖,古荡
中天西城纪,105,30747,34.15,26.46,2018/6/28,2014/7/13,拱墅,申花
保利江语海,715,34919,204.76,165.46,2018/7/25,2013/9/23,下沙,高教园区东
远洋大河宸章,570,63916,89.18,暂无数,2018/8/28,2015/5/23,拱墅,桥西
良渚文化村白鹭郡南,195,33012,59.07,52.07,2017/9/10,2010/11/14,余杭,良渚
莫干新村,274,41807,65.54,暂无数,2017/11/14,2002/11/1,拱墅,湖墅
高运学林尚苑,520,32313,160.93,123.22,2018/1/2,2014/8/1,萧山,萧山市区
竹海水韵,238,27798,85.62,暂无数,2018/1/10,2013/7/16,余杭,闲林
山阴小区,300,23791,126.1,暂无数,2018/3/17,1999/1/25,萧山,萧山市区
古荡新村东区,210,38983,53.87,暂无数,2018/3/27,2005/4/13,西湖,古荡
山水人家白沙岛,680,40223,169.06,暂无数,2018/3/28,2008/6/6,西湖,文三西路
社坛巷,265,51557,51.4,2,2018/4/8,1998/11/12,下城,天水
华星公寓,510,37778,135,暂无数,2018/4/10,2010/2/20,西湖,翠苑
铭雅苑东区,399,24098,165.58,151.24,2018/4/26,2009/11/18,余杭,三墩
秋水苑,580,47541,122,暂无数,2018/5/16,2003/6/4,西湖,文三西路
牛脚湾住宅小区,220,29283,75.13,67.32,2018/5/18,2008/3/26,萧山,萧山市区
沈塘铭苑,270,43960,61.42,47.67,2018/5/22,2007/12/11,拱墅,湖墅
十亩田家园,195,43286,45.05,40.88,2018/5/24,2010/11/29,上城,复兴
广厦天都城天湖苑,300,16286,184.21,暂无数,2018/5/26,2016/4/12,余杭,星桥
银河小区,412,32015,128.69,暂无数,2018/6/2,2001/8/21,萧山,萧山新城区
广厦天都城天湖苑,380,15863,239.56,暂无数,2018/6/5,2005/6/9,余杭,星桥
北干二苑新安寓,285,26532,107.42,暂无数,2018/7/3,2003/9/26,萧山,萧山市区
西溪蝶园一期,970,50682,191.39,暂无数,2018/7/7,2016/7/8,西湖,西溪
云河大厦,158,40680,38.84,暂无数,2018/7/9,2010/11/23,拱墅,信义坊
仓基新村,180,44151,40.77,37.72,2018/7/19,2014/4/21,拱墅,信义坊
复兴北苑,162,47788,33.9,暂无数,2018/7/21,2018/7/5,上城,复兴
朝晖六区,175,40491,43.22,暂无数,2018/8/2,2008/6/22,下城,朝晖
万科草庄,340,39153,86.84,71.4,2018/8/16,2013/6/30,江干,笕桥
东厦东港花苑,300,20271,148,暂无数,2018/8/18,2016/8/11,余杭,临平
亲亲家园三期,450,34073,132.07,暂无数,2018/8/23,2010/6/10,余杭,三墩
西溪诚园致诚苑,626,71121,88.02,66.74,2018/8/23,2014/9/10,西湖,西溪
水岸雅苑,525,35827,146.54,暂无数,2018/8/23,2010/8/31,下城,三里亭
金都华庭,1100,59402,185.18,154.24,2018/8/25,2009/6/8,下城,流水苑
风雅钱塘,550,49108,112,88.31,2018/8/27,2013/11/6,滨江,滨江区政府
保利罗兰香谷,222,25288,87.79,暂无数,2018/9/10,2016/5/26,江干,丁桥
郡原九润公寓,475,28056,169.31,暂无数,2018/9/16,2016/10/19,江干,九堡
丁桥兰苑,245,24366,100.55,暂无数,2018/9/16,2009/6/28,江干,丁桥
西溪河东,600,79703,75.28,69.92,2017/10/23,2000/1/13,西湖,学军
文二路46号,360,58366,61.68,57.5,2017/10/29,2009/12/26,西湖,文教
金田花园,280,40428,69.26,60,2018/1/14,2007/10/24,西湖,文三西路
金厦公寓,396,29542,134.05,暂无数,2018/2/24,2008/8/20,西湖,三墩
金海公寓,320,42034,76.13,69,2018/3/19,2004/6/17,西湖,文三西路
左家新村,330,41076,80.34,66.68,2018/3/25,2002/2/18,拱墅,湖墅
丹桂公寓,565,49886,113.26,暂无数,2018/4/3,2009/2/20,西湖,文三西路
金厦公寓,345,33431,103.2,暂无数,2018/4/8,2003/4/23,西湖,三墩
嘉绿北苑,352,50495,69.71,61.95,2018/4/19,2012/12/25,西湖,嘉绿
西溪蓝海,108,27157,39.77,暂无数,2018/5/29,2018/5/9,余杭,未来科技城
锦绣新村,250,44437,56.26,56,2018/6/7,2004/9/17,拱墅,湖墅
竹海水韵,246,27487,89.5,暂无数,2018/6/15,2011/6/20,余杭,闲林
颐景园,686,51899,132.18,暂无数,2018/6/15,2002/6/14,西湖,文三西路
世纪新城东区,370,53624,69,暂无数,2018/6/25,2005/10/10,西湖,嘉绿
左家新村,293,45997,63.7,56.31,2018/6/25,1996/1/3,拱墅,湖墅
滨江曙光之城,390,44198,88.24,暂无数,2018/7/1,2012/1/10,江干,火车东站
德胜东村,273,39017,69.97,64.91,2018/8/4,2012/10/22,下城,德胜东
金隆花园,282,44146,63.88,暂无数,2018/8/12,2013/2/21,上城,城站
港汇中心,271,22965,118.01,暂无数,2018/8/18,2018/8/7,萧山,钱江世纪城
华元欢乐城,217,24943,87,暂无数,2018/4/20,2017/4/3,余杭,临平
绿城翡翠湾,288,32360,89,71.09,2018/4/30,2017/6/13,余杭,翡翠城
古新路,210,37521,55.97,暂无数,2018/6/2,2018/5/31,拱墅,湖墅
万科北宸之光三期拱宸,290,32523,89.17,暂无数,2018/6/8,2018/2/7,余杭,万达广场
龙湖滟澜山澜轩,310,37350,83,暂无数,2018/7/1,2018/2/6,下沙,金沙湖
缸甏弄,130,19220,67.64,暂无数,2018/7/9,2018/7/5,余杭,临平
九莲新村,228,41395,55.08,暂无数,2018/7/12,2018/9/10,西湖,九莲
佳肴弄,130,21685,59.95,暂无数,2018/7/13,2018/7/4,余杭,临平
淮矿东元府,345,38466,89.69,暂无数,2018/7/17,2018/7/17,江干,城东新城
万科星空,420,46912,89.53,暂无数,2018/7/28,2018/6/19,西湖,西溪
新坝,370,39279,94.2,暂无数,2016/9/11,2000/1/7,下城,体育场路
水印康庭,460,38080,120.8,暂无数,2016/9/24,2007/8/16,下城,三塘
泰和苑,555,43000,129.07,103.88,2017/6/11,2010/3/23,下城,潮鸣
马塍路28号,550,74607,73.72,66.84,2017/8/26,2010/5/10,西湖,学军
铭和苑桂雨坊,250,27707,90.23,75,2017/9/2,2012/8/20,下沙,金沙湖
九莲新村,275,37780,72.79,68.38,2017/9/6,2004/7/15,西湖,九莲
世茂江滨花园碧景湾,280,32085,87.27,65.81,2017/9/7,2009/12/1,下沙,沿江南
翠苑一区,210,48066,43.69,39.45,2017/10/9,2012/5/26,西湖,翠苑
翠苑四区,235,45455,51.7,51,2017/11/8,2010/8/31,西湖,翠苑
欣盛东方郡西区,525,59135,88.78,69.09,2017/11/19,2011/10/9,滨江,滨江区政府
浙江油田留下小区,205,35653,57.5,57.5,2017/12/17,2004/3/20,西湖,西溪
大浒东苑,325,39873,81.51,65.24,2017/12/29,2010/9/29,拱墅,大关
戒坛寺巷,270,62996,42.86,暂无数,2018/1/11,2002/9/30,下城,武林
芳满庭,395,49130,80.4,61.89,2018/1/12,2010/1/12,拱墅,申花
之江公寓,590,36547,161.44,127.97,2018/1/17,2010/5/10,滨江,彩虹城
锦绣新村,235,39630,59.3,暂无数,2018/1/27,1999/6/22,拱墅,湖墅
大关南五苑,270,36851,73.27,70,2018/3/8,2008/9/25,拱墅,大关
东园小区,290,42843,67.69,60,2018/3/9,2001/3/14,下城,建国北路
碧云阁,100,24827,40.28,28.24,2018/3/11,2013/5/7,余杭,临平
濮家新村,240,42381,56.63,暂无数,2018/3/11,2010/4/21,江干,闸弄口
湖墅新村,255,44998,56.67,48.8,2018/3/19,2008/8/13,拱墅,信义坊
稻香园南区,365,47682,76.55,67.36,2018/3/20,2002/9/17,拱墅,湖墅
伊萨卡国际城浩泽园,275,30692,89.6,67.58,2018/3/23,2013/2/18,下沙,沿江北
金都华府,860,55427,155.16,128.87,2018/4/8,2009/1/8,上城,雄镇楼
翠苑四区,223,42860,52.03,暂无数,2018/5/5,1995/4/5,西湖,翠苑
回澜北园,250,30117,83.01,76.73,2018/5/5,2007/3/23,萧山,萧山市区
通和都市枫林,252,33054,76.24,59.06,2018/5/10,2010/5/18,下城,石桥
景芳四区,225,48733,46.17,暂无数,2018/5/18,2013/3/21,江干,景芳
铭雅苑西区,300,29127,103,90,2018/5/26,2012/12/1,余杭,三墩
朗诗国际街区,300,33705,89.01,67.61,2018/6/7,2011/5/11,下沙,沿江北
广宇上东领地,218,33192,65.68,暂无数,2018/6/12,2011/6/7,江干,丁桥
南岸晶都花园,400,28531,140.2,118.5,2018/7/7,2012/10/12,滨江,长河
